,,,,,,,,Undiscounted,,,,,,100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fixed,,Float CMS,,MACS,,,,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,0,0,0,1707211.049,42.024658,43.032877,,0.00,0,"1,707,211.05",938056.147,1664561.855,0.016645619,,0.016613824,1661382.407,,3179.448645,,,0.549467008,938056.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,-1634528.748,41.038356,42.035616,,"-1,634,528.75",-910669.6867,0.00,0,1665997.402,0.016659974,,0.01669005,1669004.998,,3007.596531,,,0.557145102,-910669.6867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,0,0,0,1699649.473,41.027397,42.035616,,0.00,0,"1,699,649.47",946951.3792,1676096.599,0.016760966,,0.016761006,1676100.632,,4.03363181,,,0.557145102,946951.3792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,-1648000.139,40.032877,41.038356,,"-1,648,000.14",-931005.5101,0.00,0,1683059.531,0.016830595,,0.016830595,1683059.518,,0.01291312,,,0.56493048,-931005.5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,0,0,0,1705949.273,40.027397,41.038356,,0.00,0,"1,705,949.27",963742.7421,1689888.76,0.016898888,,0.016956331,1695633.104,,5744.344166,,,0.56493048,963742.7421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,-1643509.676,39.030137,40.032877,,"-1,643,509.68",-941550.53,0.00,0,1699649.473,0.016996495,,0.016965241,1696524.073,,3125.399387,,,0.572890165,-941550.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,0,0,0,1689888.76,39.024658,40.032877,,0.00,0,"1,689,888.76",968120.6512,1705949.273,0.017059493,,0.017041635,1704163.523,,1785.749736,,,0.572890165,968120.6512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,-1639019.212,38.030137,39.030137,,"-1,639,019.21",-952171.5883,0.00,0,1707211.049,0.01707211,,0.017117407,1711740.739,,4529.689665,,,0.580939858,-952171.5883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,0,0,0,1683059.531,38.019178,39.030137,,0.00,0,"1,683,059.53",977756.3647,1718755.181,0.017187552,,0.017187552,1718755.199,,0.01790545,,,0.580939858,977756.3647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,-1639019.212,37.030137,38.030137,,"-1,639,019.21",-965513.7594,0.00,0,1726058.494,0.017260585,,0.017260585,1726058.453,,0.04111868,,,0.589080196,-965513.7594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,0,0,0,1676096.599,37.019178,38.030137,,0.00,0,"1,676,096.60",987355.3136,1733262.18,0.017332622,,0.017398929,1739892.92,,6630.740427,,,0.589080196,987355.3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,-1634528.748,36.032877,37.030137,,"-1,634,528.75",-976360.5764,0.00,0,1738353.107,0.017383531,,0.017332919,1733291.924,,5061.183664,,,0.5973346,-976360.5764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,0,0,0,1664561.855,36.021918,37.030137,,0.00,0,"1,664,561.86",994300.3903,1749724.189,0.017497242,,0.017475593,1747559.291,,2164.897895,,,0.5973346,994300.3903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,-1648000.139,35.027397,36.032877,,"-1,648,000.14",-998163.3185,0.00,0,1754913.052,0.017549131,,0.0176199,1761989.98,,7076.927514,,,0.605681574,-998163.3185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
